Tags,Oznake
Edit {0},Edit {0}
Editable Grid,Editable Mreža
Editing Row,Uređuješ red
Editing {0},Uređuješ {0}
Editing {0} is not allowed as per POS Profile settings,Uređivanje {0} nije dozvoljeno po POS podešavanja profila
Education,obrazovanje
Education Manager,Obrazovanje direktor
Education Settings,Obrazovanje Podešavanja
Educational Qualification,stručne spreme
Effective From,Na snazi od
Effective To,efektivna Da
Effective from,Na snazi od
Eg. smsgateway.com/api/send_sms.cgi,Na primer. smsgatevai.com/api/send_sms.cgi
Either GST Transporter ID or Vehicle No is required if Mode of Transport is Road,Ili PDV Passat ID ili vozila Nije potreban ako režim saobraćaja je Put
Either location or employee must be required,Mora biti potreban ili lokacija ili zaposleni
Either target qty or target amount is mandatory,Ili cilj kom ili meta iznos obavezno
Either target qty or target amount is mandatory.,Ili meta kom ili meta iznos je obavezno.
Electric,električni
Electrical,električna
Electricity Cost,struja troškova
Electricity down,struja dole
Electronic Equipments,elektronske opreme
Electronic Invoice Register,Elektronski Račun Registracija
Electronics,elektronika
Eligibility and Details,Podobnost i Detalji
Eligible ITC,kvalifikovani ITC-
Email,Mejl
Email Account,Mejl Nalog
Email Account Name,Email Account Name
Email Account added multiple times,E-mail nalog dodao više puta
Email Account not setup. Please create a new Email Account from Setup > Email > Email Account,E-mail nalog nije nameštaljka. Molimo Vas da kreirate novi nalog e-pošte iz Setup> Email> Email Account
Email Address,Adresa E-pošte
Email Address must be unique,E-mail adresa mora biti jedinstvena
Email Address whose Google Contacts are to be synced.,E-mail adresa čiji Google kontaktima treba da se sinhronizuje.
Email Addresses,Imejl adrese
Email Campaign,Email kampanje
Email Campaign For,Email za kampanju
Email Campaigns,E-mail kampanje
Email Details,Email Detalji
Email Digest,Email Digest
Email Digest Settings,Email Digest Settings
Email Digest:,Email Digest:
Email Domain,Email domen
Email Domain not configured for this account,Email domen nije podešen za ovaj nalog
Email Flag Queue,Email Flag Kueue
Email Footer Address,E-mail adresa podnožje
Email Group,email Grupa
Email Group Member,Email Group Member
Email ID,Email
Email ID must be unique,E-mail ID mora biti jedinstvena
Email IDs,poruka e-pošte
Email Id,Email
Email Inbox,Email Inbok
Email Login ID,Email Login ID
Email Notification Sent,E-mail obaveštenje poslato
Email Queue,Email Kueue
Email Queue Recipient,Email Kueue Primalac
Email Queue records.,"E-mailova, evidenciju."
Email Reminders will be sent to all parties with email contacts,E-mail podsetnika će biti poslat svim stranama sa e-mail kontaktima
Email Reply Help,Email Odgovor Pomoć
Email Rule,email Pravilo
Email Salary Slip to Employee,Email ponudi Doturim Zaposleni
Email Sent,Email poslat
Email Sent To,Email koji je poslat
Email Sent to Supplier {0},Email koji je poslat dobavljaču {0}
Email Server,E-mail server
Email Settings,Email Settings
Email Signature,E-mail Potpis
Email Status,email status
Email Sync Option,Email Option Sinc
Email Template,Šablon za mejl
Email To,Email to
You viewed this,Ti si ovo gledao/la
Email Unsubscribe,Email Unsubscribe
Email address of member {0} is missing,Email adresa člana {0} je nestao
Email has been marked as spam,E-mail je označena kao nepoželjna
Email has been moved to trash,E-mail je premeštena u otpad
Email not found in default contact,E-mail nije pronađen u početnim kontaktu
Email not sent to {0} (unsubscribed / disabled),E-mail nije poslat u {0} (odjavljena / onemogućeno)
Email not verified with {0},EMAIL ne provereno sa {0}
Email or Phone/Mobile of the Contact are mandatory to continue.,E-mail ili telefon / GSM kontakta su obavezna da nastavi.
Email queued to {0} recipients,EMAIL kueued na {0} primalaca
Email sent successfully.,E-mail je uspešno poslat.
Email sent to,Email koji je poslat
Email sent to {0},E-mail poslat na {0}
Emails Queued,emails Kueued
Emails are muted,Emails su isključen
Emails salary slip to employee based on preferred email selected in Employee,Emails plata klizanje da zaposlenom na osnovu poželjnog email odabran u zaposlenog
Emails will be sent with next possible workflow actions,Emails će biti poslat sa narednih mogućim akcijama vorkflov
Emergency Contact,Hitna Kontakt
Emergency Contact Name,Hitna Kontakt Ime
Emergency Phone,Hitna telefona
Employee,Zaposleni
Employee,Zaposleni
Employee (Lab Technician),Emploiee (Lab Technician)
Employee (optional),Emploiee (opciono)
Employee A/C Number,Radnik / C Broj
Employee Advance,Troškovi Zaposlenog
Employee Advance Summary,Zaposleni Unapred Pregled
Employee Advances,Napredak zaposlenih
Employee Analytics,zaposleni analitika
Employee Attendance Tool,Praćenje Prisustva
Employee Benefit Application,Zaposleni Korist Primena
Employee Benefit Application Detail,Zaposleni Korist Primena Detalj
Employee Benefit Claim,Zaposleni Korist Zahtev
Employee Benefits,Primanja zaposlenih
Employee Billing Summary,Zaposleni Rezime obračuna
Employee Birthday,Ro]endan Zaposlenog
Employee Boarding Activity,Radnik JU aktivnosti
Employee Checkin,Čekiranja Zaposlenih
Employee Detail,Zaposleni Detalj
Employee Details,zaposleni Detalji
Employee Education,zaposleni Obrazovanje
Employee Emails,Email zaposlenih
Employee External Work History,Zaposleni Spoljni Istorija Rad
Employee Grade,Razred Zaposlenog
Employee Grade (optional),Emploiee Grade (opcionalno)
Employee Group,Grupa Zaposlenih
Employee Group Table,Zaposleni grupa Tabela
Employee Health Insurance,Zdravstveno osiguranje zaposlenih
Employee ID,Broj zaposlenog
Employee Lifecycle,Životni ciklus zaposlenog
Employee ID is linked with another instructor,ID zaposleni je povezana sa drugim instruktorom
Employee Incentive,zaposleni Podsticajni
Employee Information,zaposleni informacije
Employee Internal Work History,Zaposleni Interni Istorija Rad
Employee Leave Balance,Zaposleni odsustvo Stanje
Employee Leave Balance Summary,Zaposleni odsustvo Stanje Pregled
Employee Loan,zaposleni kredita
Employee Name,Ime Zaposlenog
Employee Number,Broj radnika
Employee Onboarding,Podučavanje zaposlenog
Employee Onboarding Activity,Zaposleni socijalizacija aktivnosti
Employee Onboarding Template,Podučavanje Zaposlenog Šablon
Employee Onboarding: {0} is already for Job Applicant: {1},Zaposleni socijalizacija: {0} je već za Job podnosilac: {1}
Employee Other Income,Zaposleni Ostali prihodi
Employee Promotion,Unapređenje Zaposlenog
Employee Promotion Detail,Detalj Promocije Zaposlenog
Employee Promotion Details,Detalji Promocije Zaposlenog
Employee Promotion cannot be submitted before Promotion Date,Zaposleni Promocija ne može se podneti pre promociju Datum
Employee Property History,Zaposleni nekretnine Istorija
Employee Records to be created by,Zaposlenih Zapisi se stvorio
Employee Referral,zaposleni Upućivanje
Employee Separation,Otpuštanje zaposlenog
Employee Separation Template,Šablon Za Otpuštanje
Employee Settings,zaposlenih Podešavanja
Employee Skill,Veštine Zaposlenog
Employee Skill Map,Pregled Veština Zaposlenog
Employee Skills,Veštine Zaposlenog
Employee Tax Exemption Category,Zaposleni Poreska Oslobađanje Kategorija
Employee Tax Exemption Declaration,Zaposleni Poreska Oslobađanje deklaracija
Employee Tax Exemption Declaration Category,Zaposleni Poreska Oslobađanje deklaracija Kategorija
Employee Tax Exemption Proof Submission,Zaposleni Poreska Oslobađanje Dokaz Podnošenje
Employee Tax Exemption Proof Submission Detail,Zaposleni Poreska Oslobađanje Dokaz Podnošenje Detalj
Employee Tax Exemption Sub Category,Zaposleni Poreska Oslobađanje Podkategoria
Employee Training,Obuka zaposlenih
Employee Transfer,Transfer Zaposlenih
Employee Transfer Detail,Detalj Transfera Zaposlenog
Employee Transfer Details,Detalji Transfera
Employee Transfer Property,Zaposleni na prenos apsolutnih prava
Employee Transfer cannot be submitted before Transfer Date,Prenos zaposleni ne može se podneti pre transfera Datum
Employee and User Details,Zaposlenih i korisnika Detalji
Employee cannot report to himself.,Zaposleni ne može prijaviti za sebe.
Employee is required while issuing Asset {0},Zaposleni je dužan prilikom davanja aktivom {0}
Employee name,Ime zaposlenog
Employee name and designation in print,Ime zaposlenih i oznaka u štampi
Employee records are created using the selected field,evidencija zaposlenih su napravljeni pomoću izabranog polja
Employee relieved on {0} must be set as 'Left',Zaposleni smenjen u {0} mora biti postavljen kao 'left'
Employee {0} already has Active Shift {1}: {2},Zaposleni {0} već ima Active Shift {1}: {2}
Employee {0} already submited an apllication {1} for the payroll period {2},Emploiee {0} već predala je apllication {1} za period platnom {2}
Employee {0} does not belongs to the company {1},Zaposleni {0} ne pripada kompaniji {1}
Employee {0} has already applied for {1} between {2} and {3} :,Emploiee {0} već tražilo {1} između {2} i {3}:
Employee {0} has no maximum benefit amount,Emploiee {0} nema maksimalni iznos davanja
Employee {0} is not active or does not exist,Emploiee {0} nije aktivan ili ne postoji
Employee {0} is on Leave on {1},Zaposleni {0} je na odmoru na {1}
Employee {0} on Half day on {1},Zaposleni {0} na pola dana na {1}
Employee: {0} have to complete minimum {1} years for gratuity,Zaposleni: {0} da popunite najmanje {1} godina za otpremninu
Employees,zaposleni
Employees Email Id,Zaposleni Email ID
Employees HTML,zaposleni HTML-
Employees working on a holiday,Zaposleni koji rade za praznike
Employment Type,Tip zaposlenja
Employment Type (optional),Tip zaposlenja (opcionalno)
Empty,prazan
Enable,omogućiti
Enable Admission Application,Omogući Admission Application
Enable Allow Auto Repeat for the doctype {0} in Customize Form,Omogućite Dozvolite Auto Repeat za DOCTIPE {0} u Customize obrascu
Enable Amazon,Omogući Amazon
Enable Appointment Scheduling,Omogući sastanak Zakazivanje
Enable Attribute Filters,Omogući filtera atributa
Enable Auto Attendance,Omogući Automatskko Prisustvo
Enable Auto Email,Enable Auto-mail
Enable Auto Re-Order,Omogući automatsko Re-Order
Enable Auto Reply,Omogući automatsko Odgovori
Enable Auto-deletion of Prepared Reports,Omogući Auto-brisanje pripremio izveštaj
Enable Automatic Backup,Enable Automatic Backup
Enable Automatic Linking in Documents,Omogući automatsko linkovanje u dokumentima
Enable Capital Work in Progress Accounting,Omogućite kapitalno delo u toku računovodstva
Enable Chat,Enable Chat
Enable Checkout,Omogući Checkout
Enable Comments,Omogući komentare
Enable Deferred Expense,Omogući Odloženi Ekpense
Enable Deferred Revenue,Omogući Odloženi prihod
Enable Distributed Cost Center,Omogućite Distributed Cost centar
Enable Email Notifications,Uključi email obaveštenja
Enable Entry Grace Period,Omogućite Entri Grejs period
Enable European Access,Omogućite evropske pristup
Enable Exit Grace Period,Omogućite Ekit Grejs period
Enable Field Filters,Omogući Field filtere
Enable Free Follow-ups,Omogućiti slobodan follov-up
Enable Google API in Google Settings.,Omogući Google API u Google podešavanja.
Enable Google Indexing,Omogući Google indeksiranje
Enable In App Website Tracking,Uključi u App vebsite tracking
Enable Incoming,Omogući dolazni
Enable Learning Management System,Omogućite Learning Management Sistem
Enable Onboarding,Omogući socijalizacija
Enable Outgoing,Omogući Odlazne Mejlove
Enable Password Policy,Omogući Passvord Polici
Enable Perpetual Inventory,Omogući kontinuirani inventar
Enable Perpetual Inventory For Non Stock Items,Omogućite kontinuirani inventar za stavke koje nisu na lageru
Enable Print Server,Omogući Print Server
Enable Raw Printing,Omogući Rav Printing
Enable RazorPay For Memberships,Omogućite RazorPai za članstvo
Enable Report,Omogući Report
Enable Scheduled Jobs,Omogući Scheduled Jobs
Enable Scheduled Sync,Omogući Planirano Sinc
Enable Security,Enable Securiti
Enable Shopify,Omogući Shopifi
Enable Shopping Cart,Omogući Korpa
Enable Social Login,Enable Social Login
Enable Social Sharing,Enable Social sharing
Enable Sync,Omogući sinhronizaciju
Enable Tax Calculation,Omogući Izračunavanje poreza
Enable Tracking Page Views,Omogućite praćenje Page Vievs
Enable Two Factor Auth,Omogućite Tvo Factor Auth
Enable Variants,Omogući varijante
Enable YouTube Tracking,Omogućite IouTube praćenje
Enable developer mode to create a standard Web Template,Omogućite režim programera da kreira standardnu Veb Template
Enabled,Omogućeno
Enabled email inbox for user {0},Omogućeno e prijem za korisnika {0}
Enabled scheduled execution for script {0},Omogućeno zakazano izvršenje za skriptu {0}
Enabling 'Use for Shopping Cart',"Omogućavanje 'Koristi se za Korpa """
Enabling this option will round off individual GST components in all the Invoices,Omogućavanje ove opcije će zaokružiti pojedinačne GST komponente u svim fakturama
Encashable days,Encashable dana
Encashment,unovčenja
Encashment Amount,unovčenja Iznos
Encashment Date,unovčenja Datum
Encashment Threshold Days,Unovčenja threshold dana
Encounter Date,susret Datum
Encounter Impression,susret Utisak
Encounter Time,susret Vreme
Encrypt Salary Slips in Emails,Šifriranje plata stati u Emails
Encryption key is invalid,Šifrovanje ključ je nevažeći
End Date,Datum završetka
End Date Field,Datum završetka Polje
End Date can not be less than Start Date,Datum završetka ne može biti manji od datuma početka
End Date cannot be before Start Date!,Datum završetka ne može biti pre datuma početka!
End Date cannot be before Start Date.,Datum završetka ne može biti pre datuma početka.
End Date must not be lesser than Start Date,Datum završetka ne sme biti manji od datuma početka
End Date of Agreement can't be less than today.,Datum završetka sporazuma ne može biti manji nego danas.
End Day,Kraj Dan
End Time,Vreme Završetka
End Year,Kraj Godina
End Year cannot be before Start Year,Do kraja godine ne može biti prije početka godine
End date can not be less than start date,Datum završetka ne može biti manji od datuma početka
End date cannot be before start date,Datum završetka ne može biti pre datuma početka
End date of current invoice's period,Datum završetka perioda aktuelne faktura je
End date: {0},Datum završetka: {0}
End of Life,Kraj života
End on,zavrsava
End time cannot be before start time,Kraj vreme ne može biti pre početka vremena
Endpoint,endpoint
Endpoint URL,endpoint URL adresa
Endpoints,endpoints
Ends On,Završava On
Ends On date cannot be before Next Contact Date.,Završava se DATE ne može biti pre sledećeg Kontakt datuma.
Ends on,Završava na
Energy,energija
Energy Point,Energetski Poen
Energy Point Log,Energetska tačka se
Energy Point Rule,Energetska tačka Pravilo
Energy Point Settings,Energi Point Podešavanja
Energy Point Update on {0},Energetska tačka Update na {0}
Energy Points,Energetskih Poena
Engine Oil,Ulje Motora
Engineer,inženjer
Enough Parts to Build,Dovoljno delovi da se izgradi
Enroll,Uviti
Enroll Students,upis studenata
Enrolled,Upisao
Enrolled courses,Upisani kursevi
Enrolling student,Upisivanje student
Enrolling students,upisu učenika
Enrolling...,Upis ...
Enrollment,upis
Enrollment Date,upis Datum
Enrollment Date cannot be after the End Date of the Academic Term {0},Upis Datum ne može biti nakon krajnjeg roka za akademsku roka {0}
Enrollment Date cannot be before the Start Date of the Academic Term {0},Upis Datum ne može biti prije početka Datum Akademskog roka {0}
Enrollment Date cannot be before the Start Date of the Academic Year {0},Upis Datum ne može biti prije početka Datum školske godine {0}
Enrollment Details,upis Detalji
Ensure Delivery Based on Produced Serial No,Osigurati isporuke na osnovu Produced Serial no
Enter 0 to waive limit,Unesite 0 da se odrekne limit
Enter API key in Google Settings.,Unesite API ključ u Google podešavanja.
Enter Client Id and Client Secret in Google Settings.,Unesite ID klijenta i klijenta tajna u Google podešavanja.
Enter Code displayed in OTP App.,Unesite kod prikazan u OTP App.
Enter Email Recipient(s),Unesite Email Primalac (e)
Enter Form Type,Enter Form Tipe
Enter Supplier,Unesi Dobavljača
Enter Value,Unesite vrednost
Enter a name for the Clinical Procedure Template,Unesite ime za kliničku postupku Template
Enter amount to be redeemed.,Unesite iznos koji se iskupio.
Enter customer's email,Unesite email klijenta
Enter customer's phone number,Unesite broj telefona kupca
Enter default value fields (keys) and values. If you add multiple values for a field,Unesite podrazumevane polja vrednost (Keis) i vrednosti. Ako dodate više vrednosti za polje
Enter depreciation details,Unesite detalje amortizacije
Enter discount percentage.,Unesite procenat popusta.
Enter folder name,Unesite naziv direktorijuma
Enter name of campaign if source of enquiry is campaign,Unesite naziv kampanje ako izvor istraživanja je kampanja
Enter python module or select connector type,Unesite piton modul ili izaberite vrstu konektora
Enter retirement age in years,Unesite starosnu granicu u godinama
Enter static url parameters here (Eg. sender=ERPNext,Unesite statičke parametre url ovde (Npr. Pošiljalac=ERPNekt
Enter the Bank Guarantee Number before submittting.,Unesite bankarske garancije broj pre submittting.
Enter the name of the Beneficiary before submittting.,Unesite ime Korisnika pre submittting.
Enter the name of the bank or lending institution before submittting.,Unesite naziv institucije banke ili kreditne pre submittting.
Enter url parameter for message,Unesite url parametar za poruke
Enter url parameter for receiver nos,Unesite url parametar za prijemnik nos
Enter value betweeen {0} and {1},Enter value betveeen {0} i {1}
Enter your password,Unesite lozinku
Enter {0} amount.,Enter {0} iznos.
Entertainment & Leisure,Zabava & Leisure
Entertainment Expenses,Troškovi zabave
Entity,entitet
Entity Name,entitet Ime
Entity Type,entitet Tip
Entry Type,entri Tip
Equals,Jednako
Equity,Kapital
Equity/Liability Account,Kapital / Odgovornost nalog
Error,greška
Error Attaching File,Greška pričvršćivanje fajla
Error Code: {0},Greška kod: {0}
Error Description,Opis greške
Error Log,error Log
Error Log Notification,Greška se Obaveštenje
Error Message,Poruka o grešci
Error Occured,Pojavila se greška
Error Report,Izveštaj o grešci
Error Snapshot,Greška Snapshot
Error While Uploading Image,Grešku prilikom otpremanja slike
Error creating donation entry for {0},Greška pri pravljenju entri donacija za {0}
Error creating membership entry for {0},Greška pri izradi unos članstvo u {0}
Error during caller information update,Greška prilikom poziva informacija ažuriranja
Error evaluating the criteria formula,Error vrednovanje kriterijuma formulu
Error has occurred in {0},Došlo je do greške u {0}
Error in Client Script,Greška u Client Script
Error in Client Script.,Greška u Client Script.
Error in Exotel incoming call,Greška u Ekotel dolazni poziv
Error in Notification,Greška u obaveštenju
Error in Notification: {},Error in Obaveštenje: {}
Error in formula or condition: {0},Greška u formuli ili stanja: {0}
Error in input data. Please check for any special characters near following input: <br> {},Greška u ulaznih podataka. Molimo vas da proverite za bilo kakvu posebnu karaktera u blizini sledeći unos: <br> {}
Error in some rows,Greška u nekim redovima
Error occured while parsing Chart of Accounts: Please make sure that no two accounts have the same name,Došlo je do greške prilikom raščlanjivanja kontni: Uverite se da ne postoje dva naloga imaju isti naziv
Error while POSTING {0},Greška prilikom slanja {0}
Error while connecting to email account {0},Greška prilikom povezivanja sa nalogom e-pošte {0}
Error while evaluating Notification {0}. Please fix your template.,Greška pri evaluaciji Obavještenje {0}. Molimo Vas da popravi svoj šablon.
Error while reposting item valuation,Greška pri ponovno objavljivanje tačka vrednovanje
Error! Failed to get access token.,Greška! Nije uspeo da dobije pristup token.
Error! Failed to get request token.,Greška! Nije dobio zahtev za token.
Error: Document has been modified after you have opened it,Greška: Dokument je izmenjen nakon što ste ga otvorili
Error: Not a valid id?,Greška: Nije važi? Id?
Error: Value missing for {0}: {1},Greška: Vrednost nedostaje za {0}: {1}
Error: {0} is mandatory field,Greška: {0} je obavezno polje
Estimated Arrival,Procenjeno vreme dolaska
Estimated Cost,Procenjeni troškovi
Estimated Cost Per Position,Procenjeni Trošak po Poziciji
Estimated Time and Cost,Procenjeno vreme i troškovi
Evaluate,"Proceniti, oceniti"
Evaluation,procena
Evaluation Date,Datum Evaluacije
Evaluation Period,evaluacija period
Even if there are multiple Pricing Rules with highest priority,Čak i ako postoji više Cene Pravila sa najvišim prioritetom
Evening,Veče
Event,događaj
Event Category,Kategorija događaja
Event Configurations,Event Konfiguracije
Event Consumer,event potrošača
Event Consumer Document Type,Događaj potrošača Tip dokumenta
Event Consumer Document Types,Događaj potrošača dokument vrste
Event Details,Detalji o manifestaciji
Event Frequency,event Frekvencija
Event Link,događaj Link
Event Location,event Lokacija
Event Name,Naziv događaja
Event Participants,Event Učesnici
Event Producer,event Producent
Event Producer Document Type,Događaj Proizvođač Tip dokumenta
Event Producer Document Types,Vrste događaj Producer dokumenata
Event Producer Last Update,Događaj Producent Zadnja izmena
Event Status,Status događaja
Event Streaming,event streaming
Event Subscriber,event pretplatnika
Event Subscriber has to be a System Manager.,Događaj Pretplatnik mora da bude direktor sistem.
Event Sync Log,Event Sinhronizacija se
Event Synced with Google Calendar.,Događaj sinhronizovan sa Google kalendara.
Event Type,Tip događaja
Event Update Log,Event Ažuriranje se
Event Update Log Consumer,Događaj Ažuriranje se potrošačkih
Events in Today's Calendar,Događaji u današnjim Kalendar
Every Valid Check-in and Check-out,Svaki Važno check-in i Check-out
Everyone,svako
Everyone,svako
Eway Bill,Evai Bil
"Ex: ""colors"": [""#d1d8dd""","Ek: ""boje"": [ ""# d1d8dd"""
Exam,ispit
Examiner,ispitivač
Examiner Name,ispitivač Ime
Example,primer
Example Email Address,Primer E-mail adresa
"Example: ""/desk""","Primer: ""/ sto"""
Example: #Tree/Account,Primer: # Drvo / nalog
Example: 00001,Primer: 00001
Example: ABCD.#####If series is set and Serial No is not mentioned in transactions,Primer: ABCD #####  Ako je smeštena i Serial No se ne pominje u transakcijama.
Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions,Primer: ABCD #####.. Ako je smeštena i serijski br se ne pominje u transakcijama
Example: {{ subject }},Primer: {{subject}}
Excel,ekcel
Exception,Izuzetak
Exception Budget Approver Role,Odobravalac izuzetka budžeta
Exception Type,Tip Izuzetka Budžeta
Excessive machine set up time,Preterana mašina podesiti vreme
Exchange Gain / Loss Account,Kursne / uspeha
Exchange Gain/Loss,Kursne / Gubitak
Exchange Rate,Kurs
Exchange Rate Revaluation,Kursu revalorizacije
Exchange Rate Revaluation Account,Kursu revalorizacije nalog
Exchange Rate must be same as {0} {1} ({2}),Ekchange kurs moraju biti isti kao {0} {1} ({2})
Excise Entry,akciza Stupanje
Excise Invoice,akciza Faktura
Excise Page Number,Akciza Broj stranice
Execute,izvršiti
Execute Console script,Ekecute Console script
Execution,izvršenje
Execution Time: {0} sec,Ekecution Time: {0} sec
Executive Search,Izvršni Traži
Exempt Supplies,izuzete nabavke
Exempted from Income Tax,Izuzeti od poreza na dohodak
Exemption Category,oslobađanje Kategorija
Exemption Sub Category,Oslobađanje Pod Kategorija
Exercise,vežba
Exercise Difficulty Level,Vežba Nivo težine
Exercise Instructions,Vežba Instrukcije
Exercise Name,vežba Ime
Exercise Steps,Vežba Koraci
Exercise Type,vežba Tip
Exercise Type Step,Vežba Tip Korak
Exercise Video,vežba video
Exercises,vežbe
Existing Company,postojeća Firma
Existing Company,postojeća Firma
Exit,izlaz
Exit Interview Held On,Ekit Intervju održan
Exit Interview Summary,Izveštaj otpusnog intervjua
Exotel,Ekotel
Exotel Settings,Ekotel Podešavanja
Expand,Proširiti
Expand All,Proširi sve
Expected Amount,očekuje Iznos
Expected Arrival Date,Očekivani Datum dolaska
Expected Closing Date,Očekivani Datum zatvaranja
Expected Delivery Date,Očekivani Datum isporuke
Expected Delivery Date should be after Sales Order Date,Očekuje Isporuka Datum treba da bude posle prodaje po data
Expected Discharge,očekuje pražnjenja
Expected End Date,Očekivani Datum završetka
Expected End Date should be less than or equal to parent task's Expected End Date {0}.,Očekuje Datum završetka bi trebalo da bude manja ili jednaka u matične zadatak očekuje Datum završetka {0}.
Expected Hrs,Očekivano trajanje u satima
Expected Length of Stay,Očekivana dužina boravka
Expected Result Date,Očekivani rezultat Datum
Expected Result Time,Očekivani Rezultat Vreme
Expected Start Date,Očekivani datum početka
Expected Time (in hours),Očekivano vreme (u satima)
Expected Value After Useful Life,Očekivana vrednost nakon Useful Life
Expected and Discharge dates cannot be less than Admission Schedule date,Očekivani i datumi Discharge ne može biti manji od Upis datuma Raspored
Expense,Trošak
Expense / Difference account ({0}) must be a 'Profit or Loss' account,"Ekpense / Razlika nalog ({0}) mora biti ""dobitak ili gubitak"" naloga"
Expense Account,Rashodi račun
Expense Account Missing,Rashodi za Missing
Expense Approver,Rashodi approver
Expense Approver Mandatory In Expense Claim,Rashodi odobravatelj obavezno u Ekpense potraživanja
Expense Claim,Isplata Troška
Expense Claim Account,Rashodi Zahtev nalog
Expense Claim Advance,Rashodi Zahtev Unapred
Expense Claim Detail,Rashodi Zahtev Detalj
Expense Claim Type,Rashodi Zahtev Tip
Expense Claim for Vehicle Log {0},Ekpense Zahtev za vozila Pristupi {0}
Expense Claim {0} already exists for the Vehicle Log,Rashodi Zahtev {0} već postoji za Pristupi vozila
Expense Date,Rashodi Datum
Expense Head,Rashodi Head
Expense Head Changed,Rashodi Glava Changed
Expense Proof,Rashodi Dokaz
Expense Taxes and Charges,Rashodi porezi i takse
Expense Type,Rashodi Tip
Expense account is mandatory for item {0},Rashodi za obavezno za stavku {0}
Expenses,Troškovi
Expenses Included In Asset Valuation,Troškovi uključeni u Vrednovanje imovine
Expenses Included In Valuation,Troškovi uključeni u Vrednovanje
Experimental,Eksperimentalan
Expert,ekspert
Expiration time,isteka vremena
Expire Allocation,ističe Raspodela
Expire Carry Forwarded Leaves (Days),Isteći Carri Forvarded Lišće (Dana)
Expire Notification On,Ističe obaveštenje o
Expired,izdahnut
Expired Batches,ekpired Paketi
Expired Leave,Isteklo odsustvo
Expires In,Ističe
Expires On,Ističe
Expiring Memberships,ističe Memberships
Expiring On,ističe Na
Expiry (In Days),Isteka (u danima)
Expiry Date,Datum isteka
Expiry Date Mandatory,Datum isteka Obavezno
Expiry Duration (in days),Isteka Trajanje (u danima)
Expiry time of QR Code Image Page,Isteka vremena na KR Code Image Page
Explanation,Objašnjenje
Exploded Items,eksplodirale Predmeti
Explore,istražiti
Exponential Smoothing Forecasting,Eksponencijalna Ublažavanje Predviđanje
Export,izvoz
Export 1 record,Izvoz 1 zapis
Export All {0} rows?,Izvoz Sve {0} redova?
Export Custom Permissions,Izvoz Custom Dozvole
Export Customizations,Izvoz prilagođavanja
Export Data,Izvoz podataka
Export E-Invoices,Ekport E-računi
Export Errored Rows,Izvoz Errored Redovi
Export From,Izvoz iz
Export Report: {0},Izvoz Izveštaj: {0}
Export Type,Izvoz Tip
Export not allowed. You need {0} role to export.,Izvozi nije dozvoljeno. Treba ti {0} ulogu izvoz.
Export {0} records,Izvoz {0} zapisa
Expose Recipients,ekpose primalaca
Expression,izraz
Extends,Produžava
Extends Another Page,Produžava Druga stranica
External Work History,Spoljni Istorija Rad
Extra Bed Capacity,Pomoćni ležaj Kapacitet
Extra Large,Ekstra veliki
Extra Parameters,extra Parametri
Extra Small,Veoma mali
FCA (Free Carrier),FCA (Franko prevoznik)
FCFS Rate,FCFS kurs
FIFO,"FIFO,"
FR,SR
Facebook,Fejsbuk
Fail,fail
Failed,Nije uspeo
Failed Import Log,Failed Uvoz se
Failed Transactions,Failed Transakcije
Failed to Authenticate the API key.,Failed to autentičnost API ključ.
Failed to add Domain,Failed to add domena
Failed to change password.,Failed to change passvord.
Failed to complete setup,Failed to kompletnog setup
Failed to connect to server,Konekcija na server nije uspela
Failed to connect to the Event Producer site. Retry after some time.,Nije uspeo da se poveže sa događaja Producer sajtu. Retri nakon nekog vremena.
Failed to create an Event Consumer or an Event Consumer for the current site is already registered.,Nije uspeo da stvori događaja Consumer ili događaja potrošača za trenutnoj lokaciji već je registrovana.
Failed to create website,Nije uspeo da stvori sajt
Failed to decode token,Failed to decode znak
Failed to install presets,Failed to install presets
Failed to login,Nije uspela da se prijavite
Failed to send {0} Auto Email Report,Nije uspela da pošalje {0} Automatsko Email Report
Failed to setup company,Failed kompaniji za podešavanje
Failed to setup defaults,Failed to setup defaults
Failed to setup defaults for country {0}. Please contact support@erpnext.com,Failed to setup defaults za zemlju {0}. Please contact support@erpnekt.com
Failed to setup post company fixtures,Failed to post podešavanje kompanije čvora
Failed while amending subscription,Failed dok izmenenie pretplate
Failure,Neuspeh
Failure Date,neuspeh Datum
Family,Porodica
Family Background,porodica Pozadina
Father,otac
FavIcon,FavIcon
Fax,faks
Featured,Izabran
Featured Items,Posebne aukcije
Feb,Jan
February,februar
Fee,Nadoknada
Fee Breakup for each student,Naknada Raspad za svakog studenta
Fee Category,naknada Kategorija
Fee Component,naknada Komponenta
Fee Created,naknada Kreirano
Fee Creation Failed,Naknada kreiranja Failed
Fee Creation Pending,Naknada kreiranja čekanju
Fee Creation Status,Naknada kreiranja status
Fee Records Created - {0},Naknada za Zapisi Created - {0}
Fee Schedule,Cenovnik
Fee Schedule Program,Naknada Raspored programa
Fee Schedule Student Group,Naknada Raspored učenika Grupa
Fee Structure,Struktura Naknade
Fee Validity,naknada važenja
Fee Validity Reference,Naknada važenja Referentna
Fee Validity {0} updated.,Naknada važenja {0} ažuriran.
Feedback,Povratna informacija
